GEOID,Geo.Name,Total.Population,White.Alone,Bachelors.Degree,HH.Income.Year,Median.HH.Income.Year,Median.Gross.Rent,Median.Gross.Rent.Per.HH.Income.Year,NonWhite,Prop.Nonwhite
3603701,"Riverdale, Fieldston & Kingsbridge",111182,48451,15253,42374,60118,1334,32.1,62731,0.5642190282599702
3603702,"Wakefield, Williamsbridge & Woodlawn",147447,18827,15104,48495,50526,1269,36.1,128620,0.872313441439975
3603703,"Co-op City, Pelham Bay & Schuylerville",122586,50614,14065,47551,58739,1162,28.8,71972,0.5871143523730279
3603704,"Pelham Parkway, Morris Park & Laconia",129590,43058,12660,44518,48948,1252,33.9,86532,0.6677367080793271
3603705,"Belmont, Crotona Park East & East Tremont",174875,24084,9918,57417,24916,973,35.4,150791,0.8622787705503931
3603706,"Bedford Park, Fordham North & Norwood",133339,24044,9956,45122,33825,1204,38.7,109295,0.8196776636992927
3603707,"Morris Heights, Fordham South & Mount Hope",140324,14038,7537,45284,26482,1117,41.6,126286,0.8999600923576865
3603708,"Concourse, Highbridge & Mount Eden",144614,16588,9966,49026,28190,1114,39.7,128026,0.8852946464381042
3603709,"Castle Hill, Clason Point & Parkchester",190848,46553,13873,64833,37826,1141,34.4,144295,0.7560728957075789
3603710,"Hunts Point, Longwood & Melrose",161041,19282,7338,50736,24160,899,34.3,141759,0.8802665159804025
3603801,"Washington Heights, Inwood & Marble Hill",221929,79079,31977,75738,47496,1244,32.3,142850,0.6436743282761604
3603802,"Hamilton Heights, Manhattanville & West Harlem",131494,51988,19526,47262,47781,1248,32.4,79506,0.6046359529712382
3603803,Central Harlem,138401,27111,19951,56174,43430,1017,29.7,111290,0.804112687047059
3603804,East Harlem,125720,36302,16109,49573,32506,885,29.8,89418,0.7112472160356348
3603805,Upper East Side,222517,182583,70309,115452,118172,2210,26.8,39934,0.1794649397574118
3603806,Upper West Side & West Side,195455,147291,50344,97828,112191,1919,25.3,48164,0.24641989204676268
3603807,"Chelsea, Clinton & Midtown Business District",152195,105543,50420,85583,103299,2230,26.4,46652,0.30652780971779625
3603808,"Murray Hill, Gramercy & Stuyvesant Town",148802,113138,50298,80023,112907,2372,26.8,35664,0.2396741979274472
3603809,Chinatown & Lower East Side,159652,68018,35061,72316,43316,1071,30,91634,0.5739608648811164
3603810,"Battery Park City, Greenwich Village & Soho",157712,121052,53992,78396,133484,2628,24.1,36660,0.23244902100030435
3603901,"Tottenville, Great Kills & Annadale",165598,152347,23545,58048,89975,1288,29.4,13251,0.0800190823560671
3603902,New Springville & South Beach,136859,104485,18772,47211,77120,1309,32.8,32374,0.2365500259391052
3603903,"Port Richmond, Stapleton & Mariner's Harbor",173491,99260,20303,60891,62143,1173,34.9,74231,0.42786657521139426
3604001,Greenpoint & Williamsburg,160799,119196,36031,64499,64900,1659,30.2,41603,0.2587267333752076
3604002,Bushwick,135515,53350,17700,45983,45671,1346,33.6,82165,0.6063166439139579
3604003,Bedford-Stuyvesant,145259,44017,18581,51795,43021,1188,32.7,101242,0.6969757467695633
3604004,Brooklyn Heights & Fort Greene,139203,69997,32482,58501,85846,1738,26.3,69206,0.497158825600023
3604005,"Park Slope, Carroll Gardens & Red Hook",118940,86405,30838,49207,114890,2097,24.6,32535,0.27354128131831174
3604006,Crown Heights North & Prospect Heights,131395,31414,20917,53347,48363,1235,31.8,99981,0.7609193652726511
3604007,Brownsville & Ocean Hill,121459,9371,7579,44741,26951,943,38.7,112088,0.9228463926098519
3604008,East New York & Starrett City,158784,33894,10574,54359,36895,1137,34.4,124890,0.7865402055622733
3604009,Canarsie & Flatlands,211993,54288,27793,68581,72505,1344,30.8,157705,0.7439160727005137
3604010,"East Flatbush, Farragut & Rugby",138044,5013,14843,49313,49070,1267,35.3,133031,0.963685491582394
3604011,"Crown Heights South, Prospect Lefferts & Wingate",110156,25687,14183,41684,47788,1268,33.9,84469,0.7668125204255782
3604012,Sunset Park & Windsor Terrace,149960,56229,16415,45562,51714,1385,35.1,93731,0.6250400106695119
3604013,Bay Ridge & Dyker Heights,124851,78918,21858,48040,64167,1402,31,45933,0.36790253982747434
3604014,"Borough Park, Kensington & Ocean Parkway",164461,122339,14843,45793,44591,1405,45,42122,0.25612151209101247
3604015,Flatbush & Midwood,164081,73255,23139,57372,51313,1332,35.1,90826,0.553543676598753
3604016,"Sheepshead Bay, Gerritsen Beach & Homecrest",154037,110770,26325,56578,57692,1307,33.9,43267,0.280887059602563
3604017,Bensonhurst & Bath Beach,191977,93101,27926,63656,51667,1304,34.4,98876,0.515040864270199
3604018,Brighton Beach & Coney Island,114207,71524,18108,45639,35857,998,33.7,42683,0.37373365905767597
3604101,Astoria & Long Island City,173656,107286,39446,72618,59954,1556,29.3,66370,0.3821923803381398
3604102,Jackson Heights & North Corona,180187,76675,16327,53866,53344,1450,37.1,103512,0.5744698563159384
3604103,"Flushing, Murray Hill & Whitestone",252138,81677,30966,87071,53236,1454,40.3,170461,0.6760623150814237
3604104,"Bayside, Douglaston & Little Neck",121139,56848,21973,43596,78380,1699,31.4,64291,0.5307209073873814
3604105,"Queens Village, Cambria Heights & Rosedale",205640,32751,26244,60529,82061,1531,31.3,172889,0.8407362380859755
3604106,"Briarwood, Fresh Meadows & Hillcrest",165028,63163,26755,55391,62657,1443,34.4,101865,0.6172588894005866
3604107,Elmhurst & South Corona,143228,46200,16026,42593,47035,1437,38.2,97028,0.6774373725807803
3604108,Forest Hills & Rego Park,116607,69091,27673,51656,70478,1591,31.4,47516,0.407488401210905
3604109,Sunnyside & Woodside,138893,71721,27043,52362,63961,1609,31.4,67172,0.48362408472709206
3604110,"Ridgewood, Glendale & Middle Village",181598,144540,23084,61779,68323,1420,29.3,37058,0.20406612407625635
3604111,Richmond Hill & Woodhaven,155032,60021,18316,44754,65330,1459,33.3,95011,0.6128476701584189
3604112,"Jamaica, Hollis & St. Albans",244302,13739,23898,71287,58485,1253,34,230563,0.943762228716916
3604113,Howard Beach & Ozone Park,138868,45025,14416,39359,69462,1464,35.2,93843,0.6757712359938934
3604114,"Far Rockaway, Breezy Point & Broad Channel",123012,60559,13214,41056,51249,1122,32.2,62453,0.5076984359249505
