"","Borough","SBA.Name","Map.CommunityDistrict"
"1","Bronx","Mott Haven / Hunts Point","BX 01/BX 02"
"2","Bronx","Morrisania / East Tremont","BX 03/BX 06"
"3","Bronx","Highbridge / S. Concourse","BX 04"
"4","Bronx","University Heights / Fordham","BX 05"
"5","Bronx","Kingsbridge Heights / Mosholu","BX 07"
"6","Bronx","Riverdale / Kingsbridge","BX 08"
"7","Bronx","Soundview / Parkchester","BX 09"
"8","Bronx","Throgs Neck / Co-op City","BX 10"
"9","Bronx","Pelham Parkway","BX 11"
"10","Bronx","Williamsbridge / Baychester","BX 12"
"11","Brooklyn","Williamsburg / Greenpoint","BK 01"
"12","Brooklyn","Brooklyn Heights / Fort Greene","BK 02"
"13","Brooklyn","Bedford Stuyvesant","BK 03"
"14","Brooklyn","Bushwick","BK 04"
"15","Brooklyn","East New York / Starret City","BK 05"
"16","Brooklyn","Park Slope / Carroll Gardens","BK 06"
"17","Brooklyn","Sunset Park","BK 07"
"18","Brooklyn","North Crown Heights / Prospect Heights","BK 08"
"19","Brooklyn","South Crown Heights","BK 09"
"20","Brooklyn","Bay Ridge","BK 10"
"21","Brooklyn","Bensonhurst","BK 11"
"22","Brooklyn","Borough Park","BK 12"
"23","Brooklyn","Coney Island","BK 13"
"24","Brooklyn","Flatbush","BK 14"
"25","Brooklyn","Sheepshead Bay / Gravesend","BK 15"
"26","Brooklyn","Brownsville / Ocean Hill","BK 16"
"27","Brooklyn","East Flatbush","BK 17"
"28","Brooklyn","Flatlands / Canarsie","BK 18"
"29","Manhattan","Washington Heights / Inwood","MN 12"
"30","Manhattan","Greenwich Village / Financial District","MN 01/MN 02"
"31","Manhattan","Lower East Side / Chinatown","MN 03"
"32","Manhattan","Chelsea / Clinton / Midtown","MN 04/MN 05"
"33","Manhattan","Stuyvesant Town / Turtle Bay","MN 06"
"34","Manhattan","Upper West Side","MN 07"
"35","Manhattan","Upper East Side","MN 08"
"36","Manhattan","Morningside Heights / Hamilton Heights","MN 09"
"37","Manhattan","Central Harlem","MN 10"
"38","Manhattan","East Harlem","MN 11"
"39","Queens","Astoria","QN 01"
"40","Queens","Sunnyside / Woodside","QN 02"
"41","Queens","Jackson Heights","QN 03"
"42","Queens","Elmhurst / Corona","QN 04"
"43","Queens","Middle Village / Ridgewood","QN 05"
"44","Queens","Forest Hills / Rego Park","QN 06"
"45","Queens","Flushing / Whitestone","QN 07"
"46","Queens","Hillcrest / Fresh Meadows","QN 08"
"47","Queens","Kew Gardens / Woodhaven","QN 09"
"48","Queens","Howard Beach / S. Ozone Park","QN 10"
"49","Queens","Bayside / Little Neck","QN 11"
"50","Queens","Jamaica","QN 12"
"51","Queens","Bellerose / Rosedale","QN 13"
"52","Queens","Rockaways","QN 14"
"53","Staten Island","North Shore","SI 01"
"54","Staten Island","Mid-Island","SI 02"
"55","Staten Island","South Shore","SI 03"
